id_site,site_name,category_site,total_revenue,vlr_subs,churn,rgu_ga_inj,sc_m0,sc_m0_hvc,total_outlet,cluster
28TKA016,BAJENG2_AG,Addressable - B.A.U,78883006,1504,495,344,335,188,6,0
28TKA017,MASAMATURU_PL,Addressable - B.A.U,60173932,1333,188,155,143,55,7,0
28TKA019,PASAR_PALEKKO_PL,Addressable - B.A.U,78617460,1764,257,241,212,76,19,0
28TKA020,PADDINGING_PL,Addressable - B.A.U,54125429,1027,349,221,301,194,5,0
28TKA021,BENTANG_TAKALAR_PL,Addressable - B.A.U,94701922,2001,1023,403,764,385,16,1
28TKA022,TOPEJAWA_PL,Addressable - B.A.U,41964821,895,229,106,193,104,8,0
28TKA023,MANJAPAI,Addressable - B.A.U,73487648,1203,640,281,399,169,5,0
28TKA024,SABINTANG_PL,Addressable - B.A.U,65638967,1263,292,252,238,161,5,0
28TKA025,BONTOKASSI_SLT_GH,Addressable - B.A.U,72947222,1608,768,1530,740,371,14,1
28TKA026,BONTOMANGAPE_GH,Addressable - B.A.U,55816022,1130,335,169,238,117,2,0
28TKA027,PAKKABA_GH,Addressable - B.A.U,75295217,1250,181,64,79,32,6,0
28TKA028,BONTOLEBANG_GH,Addressable - B.A.U,105722057,1940,493,410,310,196,11,0
28TKA029,MATTOMPODALLE_AG,Addressable - B.A.U,49544034,949,124,101,108,51,1,0
28TKA030,MAPPAKASUNGGU_TAKALAR,Addressable - B.A.U,24054781,533,143,104,122,62,5,0
28TKA031,GALESONG_UTARA_PL,Addressable - B.A.U,88675377,1538,327,176,174,97,17,0
28TKA032,POLOMBANGKENG_UTARA_PL,Addressable - B.A.U,73338092,1511,166,143,132,51,3,0
28TKA033,PAPPA_TAKALAR_AG,Addressable - B.A.U,66338207,1082,229,154,169,108,7,0
28TKA034,KOMARA_TKA_PL,Addressable - B.A.U,64048600,1154,182,140,151,71,6,0
28TKA036,BODDIA_TKA_TB,Addressable - Upgrade Site Monetize,96677530,1617,1621,234,600,282,7,1
28TKA037,SALAJO_TKA_MT,Addressable - B.A.U,12179975,309,80,53,69,29,3,0
28TKA038,KALAMPA_TKA_CM,Addressable - B.A.U,49334373,820,280,339,260,133,11,0
28TKA039,DEWAKANG_TKA_CM,Addressable - B.A.U,28928223,517,129,122,87,39,12,0
28TKA040,GENTUNGANG_TKA_TB,Addressable - B.A.U,76574294,1489,819,244,388,195,6,0
28TKA041,LASSANG_TKA_AG,Addressable - B.A.U,60651290,1800,151,108,107,41,3,0
28TKA042,KALONGKONG_TKA_MT,Addressable - New Site,48808439,925,374,208,293,107,7,0
28TKA043,DINI_BAJENG_TKA_PL,Addressable - B.A.U,42307289,878,265,144,146,69,8,0
28TKA044,POROS_BONTOLEBANG_TKA_PL,Addressable - New Site,67574365,1089,275,141,200,122,29,0
28TKA045,UJUNG_BAJI_TKA_PL,Addressable - New Site,41069194,718,203,116,165,83,5,0
28TKA046,BONTO_KANANG_TKA_PL,Addressable - New Site,59530566,1075,670,279,584,301,4,0
28TKA047,KANDES_TIMBUSENG_TKA_PL,Addressable - New Site,65656923,987,144,146,161,77,4,0
28TKA048,PABUNDUKANG_TKA_PL,Addressable - New Site,22607401,398,95,53,75,42,5,0
28TKA049,PEMTAN_BONTOMANAI_TKA_PL,Addressable - New Site,38386652,595,166,111,190,92,4,0
28TKA050,TAROWANG_TKA_PL,Addressable - New Site,65038996,1134,563,362,603,322,8,0
28UPD092,KAMPUS_IAIN_BARU,Addressable - B.A.U,92425982,1284,556,438,289,228,8,0
28UPD146,JL_POROS_MALINO_AG,Addressable - B.A.U,80939165,1244,299,190,170,103,17,0
28UPD154,MINASA_SARI_AG,Addressable - B.A.U,48513561,815,200,178,146,71,35,0
28UPD161,BORONG_INDAH_AG,Addressable - B.A.U,48240640,818,219,292,281,77,8,0
28UPD163,CILALANG_AG,Addressable - B.A.U,52543753,940,114,74,69,42,2,0
